date,race_id,race_no,track,distance,start_type,field_size,horse,winner,won,model_rank,is_model_rank_1,score_gap_to_top,total_score,speed_score,record_score,form_score,stallform_score,latest_start_score,post_score,driver_score,driver_change_score,starts_score,win_score,place_score,spel_score,prize_money_score,recent_prize_score,class_change_score,avg_odds_score,wagon_score,shoe_score,inactivity_score,distance_addition_score,gender_score,gallop_score,avg_time,avg_odds,starts,wins,seconds,thirds,win_percent,place_percent,percent,prize_money,post,number,raw
20260304,20260304_7,7,onsdag 21:40,1640,auto,10,6 Margaux le Beau,Dats Pepino,0,2,0,33,136,22,22,33,0,3,0,0,0,5,25,16,25,0,0,0,0,0,0,-10,0,-5,0,14.28,11.83,11,4,1,0,36.4,45.5,0,250000,6,6,"6 Margaux le Beaus5
Kenth Åkerlund(Jak He)
38%
1640 : 6
250 000
36%
114-1-0
Helena Jakobsson-Persson
Vanlig
13,4aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-21
Bergsåker-10
Kenth Åkerlund
4
2140 : 7
14,3a
38,78
125'
Vanlig
2026-02-03
Östersund-9
Kenth Åkerlund
4
2140 : 11
15,4a
3,09
35'
Vanlig
2026-01-04
Bergsåker-10
Kenth Åkerlund
1
1640 : 7
13,4a
5,12
40'
Vanlig
2025-12-13
Östersund-5
Kenth Åkerlund
2
2140 : 4
14,9a
7,55
125'
Vanlig
(n)
2025-12-04
Östersund-1
Kenth Åkerlund
1
1640 : 3
14,3a
4,61
35'
Vanlig"
20260304,20260304_7,7,onsdag 21:40,1640,auto,10,7 Jordan Brick,Dats Pepino,0,5,0,58,111,20,20,22,0,0,0,0,0,10,8,16,25,0,0,0,0,0,0,-10,0,0,0,14.85,15.52,23,1,3,6,4.3,43.5,0,237700,7,7,"7 Jordan Brickv5
Henrik Svensson(Wik La)
3%
1640 : 7
237 700
4%
231-3-6
Lars Wikström
Amerikansk
13,4aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-03
Östersund-9
Ulf Ohlsson
0
2140 : 3
15,8a
5,72
35'
Amerikansk
2026-01-21
Bergsåker-3
Henrik Svensson
1
1640 : 4
13,4a
8,88
60'
Amerikansk
2026-01-04
Bergsåker-10
Henrik Svensson
3
1640 : 5
13,8a
16,29
40'
Amerikansk
2025-12-04
Östersund-1
Henrik Svensson
8
1640 : 6
17,8ag
5,40
35'
Amerikansk
2025-11-21
Östersund-7
Henrik Svensson
2
1640 : 1
14,9a
41,31
35'
Amerikansk"
20260304,20260304_7,7,onsdag 21:40,1640,auto,10,8 Scotch Bonnet,Dats Pepino,0,6,0,58,111,17,17,21,0,0,0,0,0,5,16,20,25,0,0,0,0,0,0,-10,0,0,0,15.03,10.49,9,2,3,0,22.2,55.6,0,162900,8,8,"8 Scotch Bonnetv5
Robert Dunder(Dun Ro)
8%
1640 : 8
162 900
22%
92-3-0
Robert Dunder
Vanlig
13,9aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-01-21
Bergsåker-3
Robert Dunder
6
1640 : 8
13,9ag
2,46
60'
Vanlig
2026-01-10
Romme-5
Robert Dunder
5
1640 : 11
14,5ag
33,88
125'
Vanlig
2025-12-19
Bergsåker-3
Robert Dunder
1
2140 : 9
16,7a
3,41
40'
Vanlig
2025-07-23
Skellefteå-1
Robert Dunder
5
2160 : 3
16,8
3,65
30'
Vanlig
2025-07-04
Bergsåker-3
Robert Dunder
2
2140 : 3
14,4a
9,05
40'
Vanlig"
20260304,20260304_7,7,onsdag 21:40,1640,auto,10,9 Fixa Vendil,Dats Pepino,0,8,0,73,96,17,17,14,0,0,0,0,0,10,12,16,25,0,0,0,0,0,0,-10,0,-5,0,14.98,46.61,22,1,7,2,4.5,45.5,0,215900,9,9,"9 Fixa Vendils5
Kevin Svedlund(Sve Ke)
2%
1640 : 9
215 900
5%
221-7-2
Kevin Svedlund
Vanlig
13,5aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-22
Romme-9
Kevin Svedlund
6
1640 : 9
14,6a
72,67
40'
Vanlig
2026-02-11
Bergsåker-8
Kevin Svedlund
0
2140 : 1
17,4a
34,32
60'
Vanlig
2026-01-21
Bergsåker-3
Kevin Svedlund
2
1640 : 5
13,5a
32,97
60'
Vanlig
2026-01-14
Solvalla-7
Kevin Svedlund
0
1640 : 7
15,4a
83,06
80'
Vanlig
2025-12-29
Romme-1
Kevin Svedlund
2
1640 : 5
15,5a
10,01
40'
Vanlig"
20260304,20260304_7,7,onsdag 21:40,1640,auto,10,10 Engine Kronos,Dats Pepino,0,1,1,0,169,24,24,29,0,0,0,15,0,5,25,20,25,0,6,6,0,0,0,-10,0,0,0,13.03,4.02,11,4,2,0,36.4,54.5,0,270500,10,10,"10 Engine Kronosv6
Mats E Djuse(Ber Os)
28%
1640 : 10
270 500
36%
114-2-0
Oscar Berglund
Vanlig
12,6aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-10-11
Solvalla-6
Magnus A Djuse
8
2140 : 4
13,6a
7,29
250'
Vanlig
2025-10-04
Boden-6
Magnus A Djuse
5
1640 : 3
12,7a
1,64
125'
Amerikansk
2025-08-30
Bergsåker-7
Magnus A Djuse
1
2140 : 5
12,6a
5,10
125'
Vanlig
2025-08-09
Östersund-1
Mats E Djuse
2
1640 : 1
13,7a
2,60
35'
Vanlig
2025-07-27
Solänget-6
Mats E Djuse
1
1640 : 1
13,0a
3,45
25'
Vanlig"
20260304,20260304_8,8,onsdag 21:51,2140,auto,11,1 Solo Traveler,Flying Finn,0,8,0,77,100,17,17,13,0,10,0,6,0,15,8,4,25,0,0,0,0,0,0,-10,0,-5,0,13.6,49.03,59,3,8,5,5.1,27.1,0,1082900,1,1,"1 Solo Travelers6
Örjan Kihlström(Mel St)
8%
2140 : 1
1 082 900
5%
593-8-5
Stefan Melander
Amerikansk
10,8aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-11
Solvalla-7
Björn Goop
1
2140 : 6
13,7a
8,89
80'
Amerikansk
2026-01-28
Solvalla-6
Örjan Kihlström
7
3160 : 1
15,7
54,14
80'
Vanlig
2026-01-14
Solvalla-6
Ulf Ohlsson
4
2140 : 1
13,9a
19,55
80'
Amerikansk
2025-12-26
Solvalla-7
Daniel Wäjersten
8
2140 : 1
12,9a
120,44
300'
Amerikansk
2025-12-17
Solvalla-6
Valentin Prevost
11
2140 : 7
14,6a
42,14
80'
Amerikansk"
20260304,20260304_8,8,onsdag 21:51,2140,auto,11,2 Flying Finn,Flying Finn,1,2,0,6,171,24,24,33,0,10,0,15,0,5,25,20,25,0,0,0,0,0,0,-10,0,0,0,13.1,4.36,13,6,1,1,46.2,61.5,0,620000,2,2,"2 Flying Finnv5
Magnus A Djuse(Nur Ti)
38%
2140 : 2
620 000
46%
136-1-1
Timo Nurmos
Vanlig
12,3aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-01-28
Solvalla-7
Magnus A Djuse
1
2140 : 7
14,0a
1,58
80'
Vanlig
2026-01-14
Solvalla-6
Magnus A Djuse
2
2140 : 7
13,6a
4,10
80'
Vanlig
2025-10-22
Solvalla-10
Magnus A Djuse
4
2140 : 11
13,4a
4,74
150'
Amerikansk
2025-10-01
Solvalla-10
Magnus A Djuse
1
2140 : 4
12,3a
2,76
80'
Amerikansk
2025-09-24
Solvalla-7
Magnus A Djuse
4
2140 : 1
13,0a
8,63
80'
Amerikansk"
20260304,20260304_8,8,onsdag 21:51,2140,auto,11,3 Anacott Steel,Flying Finn,0,11,0,113,64,10,10,2,0,2,0,0,0,20,8,2,25,0,0,0,0,0,0,-10,0,-5,0,14.75,57.58,61,5,2,6,8.2,21.3,0,847000,3,3,"3 Anacott Steels6
Julia Smedman(Mel St)
0%
2140 : 3
847 000
8%
615-2-6
Stefan Melander
Amerikansk
11,0aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-18
Solvalla-6
Julia Smedman
5
2140 : 7
18,0a
50,43
60'
-
(m)
2026-02-11
Solvalla-7
Julia Smedman
0
2140 : 5
15,0a
73,67
80'
Amerikansk
2026-01-28
Solvalla-7
Julia Smedman
0
2140 : 10
14,5a
71,15
80'
Amerikansk
2026-01-21
Solvalla-7
Magnus A Djuse
0
2140 : 3
15,4a
28,53
80'
Amerikansk
(n)
2026-01-14
Solvalla-6
Julia Smedman
0
2140 : 2
14,6a
64,10
80'
Amerikansk"
20260304,20260304_8,8,onsdag 21:51,2140,auto,11,4 Hidalgo Simoni,Flying Finn,0,5,0,51,126,17,17,23,0,3,0,8,0,15,12,16,25,0,0,0,0,0,0,-10,0,0,0,13.64,5.65,54,7,9,9,13.0,46.3,0,751282,4,4,"4 Hidalgo Simoniv7
Fredrik Plassen(Tin Sy)
7%
2140 : 4
751 282
13%
547-9-9
Sybille Tinter
Amerikansk
11,6aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-11
Solvalla-4
Fredrik Plassen
4
2140 : 1
14,1a
7,77
60'
Vanlig
2026-02-04
Solvalla-5
Thorsten Tietz
3
2140 : 6
14,1a
9,51
80'
Vanlig
2026-01-21
Solvalla-7
Fredrik Plassen
d
2140 : 5
uag
3,00
80'
Vanlig
(n)
2026-01-14
Solvalla-6
Fredrik Plassen
3
2140 : 4
13,7a
5,24
80'
Vanlig
2026-01-02
Romme-7
Oskar J Andersson
1
2160 : 2
14,7
2,73
40'
Vanlig"
20260304,20260304_8,8,onsdag 21:51,2140,auto,11,5 Waypoint Sequence,Flying Finn,0,9,0,78,99,20,20,12,0,3,0,4,0,20,8,2,25,0,0,0,0,0,0,-10,0,-5,0,13.48,40.17,62,3,4,6,4.8,21.0,0,998952,5,5,"5 Waypoint Sequences6
Rikard N Skoglund(Mel St)
1%
2140 : 5
998 952
5%
623-4-6
Stefan Melander
Amerikansk
10,7aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2026-02-25
Solvalla-6
Claes Sjöström
4
2140 : 8
14,1a
30,78
80'
Amerikansk
2026-02-11
Solvalla-7
Claes Sjöström
2
2140 : 1
13,8a
19,06
80'
Amerikansk
2026-01-31
Färjestad-4
Ulf Ohlsson
0
2140 : 9
14,3a
80,98
135'
Amerikansk
2026-01-21
Solvalla-3
Örjan Kihlström
6
1640 : 6
12,9a
42,27
80'
Amerikansk
(n)
2026-01-09
Eskilstuna-4
Hampus Bergström
5
2640 : 5
15,1a
27,77
35'
Amerikansk"
