date,race_id,horse,speed_score_race_rank,record_score_race_rank,spike_score_race_rank,win_score_race_rank,place_score_race_rank,latest_start_score_race_rank,form_score_race_rank,driver_score_race_rank
20251025,20251025_1,A Fair Dayv6,0.13636363636363635,0.09090909090909091,0.2727272727272727,0.22727272727272727,0.2727272727272727,0.0,0.0,0.0
20260114,20260114_3,Monster Winev5,0.375,0.0,0.0,0.0,0.0,0.3125,0.3125,0.0
20260218,20260218_8,Ecuador Brolines4,0.42105263157894735,0.0,0.0,0.0,0.05263157894736842,0.13157894736842105,0.15789473684210525,0.23684210526315788
20260321,20260321_2,Golden Sunriseh5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
20260513,20260513_8,Mud Hillv7,0.0,0.0,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,0.05555555555555555,0.0
