environment_rank,environment_key,parent_key,depth,observations,winners,hit_rate_percent,parent_observations,parent_adjusted_hit_rate_percent,adjusted_hit_rate_percent,lift_vs_root_pp,lift_vs_parent_pp,can_grow,environment,conditions_json,historical_row_count,ranking_score_percent,evidence_factor
1,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,21,16,76.1905,24,59.7019,68.1473,28.8616,8.4454,True,Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",21,58.8371,0.6774
2,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,4,9,8,88.8889,10,72.718,80.3779,41.0922,7.6599,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",9,58.7504,0.4737
3,race_type=Öppet lopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,4,9,8,88.8889,13,69.5163,77.4415,38.1557,7.9252,True,Lopptyp = Öppet lopp -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",9,57.3595,0.4737
4,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_score_bucket=325–350,4,8,7,87.5,9,71.4189,78.9865,39.7008,7.5676,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",8,56.9305,0.4444
5,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,13,11,84.6154,24,59.7019,69.5163,30.2306,9.8144,True,SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Nej,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",13,56.3726,0.5652
6,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,race_type=3-hästarslopp AND spike_score_bucket=325–350,3,10,9,90.0,12,58.3164,72.718,33.4323,14.4016,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",10,56.0019,0.5
7,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+,race_type=3-hästarslopp AND spike_gap_bucket=40+,3,35,22,62.8571,39,55.3581,60.1302,20.8445,4.7721,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""}]",35,55.4981,0.7778
8,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=80+,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+,4,24,15,62.5,35,60.1302,61.4228,22.1371,1.2926,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",24,54.9119,0.7059
9,race_type=Öppet lopp AND red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,12,8,66.6667,21,68.1473,67.5921,28.3063,-0.5552,True,Lopptyp = Öppet lopp -> Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",12,54.7256,0.5455
10,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+,4,20,13,65.0,27,59.7269,62.3635,23.0777,2.6365,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",20,54.6709,0.6667
11,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,13,10,76.9231,24,59.7019,66.486,27.2003,6.7841,True,ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",13,54.6598,0.5652
12,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_score_bucket=325–350,race_type=3-hästarslopp AND spike_score_bucket=325–350,3,9,8,88.8889,12,58.3164,71.4189,32.1332,13.1025,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",9,54.5067,0.4737
13,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+,race_type=3-hästarslopp AND spike_gap_bucket=40+,3,27,17,62.963,39,55.3581,59.7269,20.4411,4.3688,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""}]",27,54.2023,0.7297
14,spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+,2,24,17,70.8333,107,46.3442,59.7019,20.4162,13.3577,True,SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",24,53.6971,0.7059
15,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=false,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+,4,16,11,68.75,33,57.698,62.61,23.3243,4.912,True,ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",16,53.6391,0.6154
16,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350 AND yellow_warning=true,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,4,5,5,100.0,10,72.718,81.812,42.5263,9.094,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeScore = 325–350 -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",5,53.4611,0.3333
17,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+,spike_gap_bucket=40+ AND spread_bucket=80+,3,33,20,60.6061,41,52.8997,57.698,18.4123,4.7983,True,ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",33,53.4161,0.7674
18,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=true,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+,4,15,10,66.6667,27,59.7269,62.7011,23.4154,2.9742,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",15,53.3349,0.6
19,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350 AND spread_bucket=80+,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,4,6,5,83.3333,10,72.718,76.6988,37.413,3.9808,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeScore = 325–350 -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",6,53.3156,0.375
20,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND yellow_warning=true,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+,4,18,11,61.1111,35,60.1302,60.5948,21.3091,0.4646,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",18,52.9844,0.6429
21,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,10,8,80.0,24,59.7019,66.4679,27.1822,6.766,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",10,52.8768,0.5
22,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spread_bucket=80+ AND yellow_warning=false,race_type=3-hästarslopp AND score_gap_bucket=20+ AND yellow_warning=false,4,19,12,63.1579,24,56.399,59.6918,20.4061,3.2928,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",19,52.6552,0.6552
23,red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=80+,spike_gap_bucket=40+ AND spread_bucket=80+,3,40,23,57.5,41,52.8997,55.9666,16.6809,3.0669,True,Röd varning = Nej -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",40,52.6304,0.8
24,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spread_bucket=80+,race_type=3-hästarslopp AND spike_gap_bucket=40+,3,25,15,60.0,39,55.3581,57.9369,18.6512,2.5788,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",25,52.608,0.7143
25,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=false,spike_gap_bucket=40+ AND yellow_warning=false,3,28,17,60.7143,53,52.4231,57.2596,17.9739,4.8365,True,ScoreGap = 20+ -> SpikeGap = 40+ -> Gul varning = Nej,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",28,52.5296,0.7368
26,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=false,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=false,5,8,6,75.0,10,63.4852,68.6029,29.3172,5.1177,False,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",8,52.3156,0.4444
27,race_type=Öppet lopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,14,9,64.2857,24,59.7019,61.5894,22.3036,1.8875,True,Lopptyp = Öppet lopp -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",14,52.2962,0.5833
28,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,4,6,5,83.3333,13,69.5163,73.8796,34.5939,4.3633,True,ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Nej,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",6,52.2584,0.375
29,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND spread_bucket=<60 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,4,5,5,100.0,13,69.5163,77.984,38.6983,8.4677,True,SpikeGap = 40+ -> SpikeScore = 325–350 -> Spread = <60 -> Gul varning = Nej,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",5,52.1851,0.3333
30,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND yellow_warning=false,race_type=3-hästarslopp AND spike_gap_bucket=40+,3,17,11,64.7059,39,55.3581,59.653,20.3673,4.2949,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",17,52.1096,0.6296
31,race_type=3-hästarslopp AND spike_gap_bucket=40+,race_type=3-hästarslopp,2,39,23,58.9744,77,48.3063,55.3581,16.0724,7.0518,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""}]",39,52.078,0.7959
32,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=true,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,6,5,83.3333,10,66.4679,72.7924,33.5067,6.3245,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",6,51.8507,0.375
33,race_type=Öppet lopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=false,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=false,4,16,10,62.5,28,57.2596,59.5887,20.303,2.3291,True,Lopptyp = Öppet lopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",16,51.7799,0.6154
34,spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=false,spike_gap_bucket=40+ AND spread_bucket=80+,3,21,13,61.9048,41,52.8997,57.512,18.2263,4.6123,True,SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",21,51.6326,0.6774
35,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND spread_bucket=<60,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,7,5,71.4286,21,68.1473,68.998,29.7123,0.8507,True,Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Spread = <60,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""}]",7,51.5202,0.4118
36,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND spread_bucket=80+,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,6,5,83.3333,13,66.486,71.8062,32.5205,5.3202,True,ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Spread = 80+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",6,51.4809,0.375
37,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=true,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,8,5,62.5,21,68.1473,66.5338,27.2481,-1.6135,True,Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Ja,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",8,51.396,0.4444
38,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=false,race_type=3-hästarslopp AND spike_gap_bucket=40+ AND yellow_warning=false,4,10,7,70.0,17,59.653,63.4852,24.1995,3.8322,True,Lopptyp = 3-hästarslopp -> SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",10,51.3855,0.5
39,race_type=3-hästarslopp AND score_gap_bucket=20+ AND yellow_warning=false,race_type=3-hästarslopp AND yellow_warning=false,3,24,14,58.3333,33,54.0778,56.399,17.1133,2.3212,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",24,51.3657,0.7059
40,red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=70–80,spike_gap_bucket=40+ AND spread_bucket=70–80,3,15,10,66.6667,18,53.3391,59.3971,20.1114,6.058,True,Röd varning = Nej -> SpikeGap = 40+ -> Spread = 70–80,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""70–80""}]",15,51.3525,0.6
41,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=true,score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,7,5,71.4286,13,66.486,68.2159,28.9302,1.7299,True,ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Ja,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",7,51.1981,0.4118
42,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=true,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=80+,5,14,8,57.1429,24,61.4228,59.6605,20.3748,-1.7623,False,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",14,51.171,0.5833
43,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350 AND spread_bucket=70–80,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,4,4,4,100.0,10,72.718,80.5129,41.2271,7.7949,False,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeScore = 325–350 -> Spread = 70–80,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""70–80""}]",4,51.0649,0.2857
44,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+ AND yellow_warning=true,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=true,5,12,7,58.3333,15,62.7011,60.7599,21.4742,-1.9412,False,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+ -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",12,50.9989,0.5455
