environment_rank,environment_key,parent_key,depth,observations,winners,hit_rate_percent,parent_observations,parent_adjusted_hit_rate_percent,adjusted_hit_rate_percent,lift_vs_root_pp,lift_vs_parent_pp,can_grow,environment,conditions_json,historical_row_count,ranking_score_percent,evidence_factor
1276,race_type=Öppet lopp AND spike_gap_bucket=0–10 AND spike_score_bucket=325–350,race_type=Öppet lopp AND spike_gap_bucket=0–10,3,8,3,37.5,27,40.8694,39.9067,0.621,-0.9627,True,Lopptyp = Öppet lopp -> SpikeGap = 0–10 -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",8,39.5617,0.4444
1277,race_type=Öppet lopp AND red_warning=true AND spike_gap_bucket=0–10,race_type=Öppet lopp AND spike_gap_bucket=0–10,3,8,3,37.5,27,40.8694,39.9067,0.621,-0.9627,True,Lopptyp = Öppet lopp -> Röd varning = Ja -> SpikeGap = 0–10,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":true},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""}]",8,39.5617,0.4444
1278,score_gap_bucket=0–5 AND spike_gap_bucket=0–10 AND yellow_warning=true,spike_gap_bucket=0–10 AND yellow_warning=true,3,7,2,28.5714,26,43.9318,39.9495,0.6638,-3.9823,True,ScoreGap = 0–5 -> SpikeGap = 0–10 -> Gul varning = Ja,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""0–5""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",7,39.559,0.4118
1279,red_warning=true AND spike_gap_bucket=40+ AND spike_score_bucket=375–400,red_warning=true AND spike_gap_bucket=40+,3,3,1,33.3333,14,41.9672,40.4436,1.1579,-1.5236,False,Röd varning = Ja -> SpikeGap = 40+ -> SpikeScore = 375–400,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":true},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""375–400""}]",3,39.5529,0.2308
1280,race_type=3-hästarslopp AND score_gap_bucket=10–15 AND spike_gap_bucket=10–20,race_type=3-hästarslopp AND score_gap_bucket=10–15,3,1,0,0.0,5,50.645,42.2042,2.9185,-8.4408,False,Lopptyp = 3-hästarslopp -> ScoreGap = 10–15 -> SpikeGap = 10–20,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""10–15""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""}]",1,39.551,0.0909
1281,race_type=Öppet lopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND yellow_warning=true,race_type=Öppet lopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+,4,12,3,25.0,28,48.6123,39.7577,0.472,-8.8546,True,Lopptyp = Öppet lopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",12,39.5432,0.5455
1282,spike_gap_bucket=10–20 AND spread_bucket=<60 AND value_count_bucket=0,spread_bucket=<60 AND value_count_bucket=0,3,5,2,40.0,43,40.0637,40.051,0.7652,-0.0127,True,SpikeGap = 10–20 -> Spread = <60 -> Antal value = 0,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""0""}]",5,39.5408,0.3333
1283,score_gap_bucket=15–20 AND spike_score_bucket=400+,score_gap_bucket=15–20,2,1,0,0.0,25,44.127,42.0257,2.74,-2.1013,False,ScoreGap = 15–20 -> SpikeScore = 400+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""15–20""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""400+""}]",1,39.5348,0.0909
1284,score_gap_bucket=5–10 AND spike_gap_bucket=10–20 AND spike_score_bucket=350–375,score_gap_bucket=5–10 AND spike_score_bucket=350–375,3,3,1,33.3333,13,41.9288,40.3172,1.0314,-1.6116,False,ScoreGap = 5–10 -> SpikeGap = 10–20 -> SpikeScore = 350–375,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""5–10""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""350–375""}]",3,39.5237,0.2308
1285,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=20–30 AND spike_score_bucket=375–400 AND yellow_warning=true,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_score_bucket=375–400 AND yellow_warning=true,5,1,0,0.0,11,45.7037,41.8951,2.6093,-3.8086,False,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 20–30 -> SpikeScore = 375–400 -> Gul varning = Ja,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""20–30""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""375–400""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",1,39.5229,0.0909
